醫事機構代碼,診療科別
0937030012,14
0937030012,40
0937050014,01
0937050014,02
0937050014,03
0937050014,05
0937050014,06
0937050014,07
0937050014,08
0937050014,12
0937050014,14
0937050014,15
0937050014,22
0937050014,40
0937050014,47
0937050014,60
0937050014,81
0937050014,86
0937050024,01
0937050024,02
0937050024,03
0937050024,11
0937050024,12
0937050024,14
0937050024,22
0937050024,86
0937050032,01
0937050032,03
0937050032,06
0937050032,07
0937050032,14
0937080012,01
0937080012,02
0937080012,03
0937080012,14
0937080012,60
0938030016,01
0938030016,02
0938030016,03
0938030016,04
0938030016,05
0938030016,06
0938030016,07
0938030016,08
0938030016,09
0938030016,10
0938030016,11
0938030016,12
0938030016,14
0938030016,22
0938030016,40
0938030016,50
0938030016,81
0938030016,86
0938040012,01
0938040012,02
0938040012,03
0938040012,04
0938040012,05
0938040012,06
0938040012,07
0938040012,08
0938040012,09
0938040012,12
0938040012,14
0938040012,22
0938040012,40
0938040012,60
0938040012,81
0938040012,86
0939010018,13
0941010019,01
0941010019,02
0941010019,06
0941010019,14
0941310014,02
0941310014,03
0941310023,01
0941310023,02
0941310023,03
0941310023,14
0942020019,01
0942020019,02
0942020019,03
0942020019,06
0942020019,08
0942020019,12
0942020019,14
0942020019,22
0942020019,40
0942020019,60
0942020019,81
0943010017,01
0943010017,02
0943010017,03
0943010017,04
0943010017,05
0943010017,06
0943010017,07
0943010017,08
0943010017,09
0943010017,10
0943010017,11
0943010017,12
0943010017,13
0943010017,14
0943010017,15
0943010017,22
0943010017,40
0943010017,81
0943010017,85
0943010017,86
0943010017,87
0943010026,04
0943010026,05
0943010026,81
0943010035,04
0943010035,05
0943010044,02
0943020013,01
0943020013,02
0943020013,03
0943020013,04
0943020013,06
0943020013,08
0943020013,14
0943020013,22
0943030019,01
0943030019,02
0943030019,03
0943030019,04
0943030019,05
0943030019,06
0943030019,07
0943030019,08
0943030019,09
0943030019,10
0943030019,11
0943030019,12
0943030019,13
0943030019,14
0943030019,15
0943030019,22
0943030019,40
0943030019,47
0943030019,81
0943030019,84
0943030019,85
0943030019,86
0943030019,87
0943030019,88
0943040015,01
0943040015,02
0943040015,03
0943040015,12
0943040015,22
0943060017,13
0943160012,01
0943160012,02
0943160012,03
0943160012,04
0943160012,05
0943160012,06
0943160012,07
0943160012,08
0943160012,14
0943160012,22
0943160012,81
0943160012,86
1101010012,00
